timestamp,xprice,yprice,returns
1357225500000,139.8375,169.25,0.3125
1357225510000,139.8875,169.3,0.275
1357225520000,139.8625,169.3375,0.25
1357225530000,139.8375,169.3625,0.2375
1357225540000,139.8375,169.3625,0.325
1357225550000,139.8125,169.3625,0.3375
1357225560000,139.7875,169.325,0.35
1357225570000,139.775,169.325,0.35
1357225580000,139.7875,169.275,0.4
1357225590000,139.7875,169.3125,0.3625
1357225600000,139.7875,169.3125,0.4125
1357225610000,139.7875,169.3125,0.5125
1357225620000,139.7875,169.275,0.5625
1357225630000,139.7875,169.3,0.5375
1357225640000,139.7875,169.3,0.625
1357225650000,139.7875,169.3375,0.575
1357225660000,139.8125,169.4125,0.4875
1357225670000,139.8125,169.3625,0.5375
1357225680000,139.8125,169.3625,0.475
1357225690000,139.8125,169.3625,0.4875
1357225700000,139.8125,169.3375,0.5
1357225710000,139.8125,169.3375,0.45
1357225720000,139.8125,169.3375,0.45
1357225730000,139.8125,169.3375,0.45
1357225740000,139.8125,169.3375,0.475
1357225750000,139.8125,169.35,0.475
1357225760000,139.8125,169.3375,0.5125
1357225770000,139.8125,169.3375,0.5375
1357225780000,139.8125,169.3375,0.5375
1357225790000,139.8125,169.3375,0.5375
1357225800000,139.8875,169.3875,0.5125
1357225810000,139.8875,169.3875,0.525
1357225820000,139.8875,169.4,0.5
1357225830000,139.8875,169.425,0.475
1357225840000,139.8875,169.425,0.4625
1357225850000,139.8875,169.425,0.45
1357225860000,139.8875,169.425,0.45
1357225870000,139.8875,169.4375,0.4125
1357225880000,139.8875,169.425,0.4125
1357225890000,139.8875,169.425,0.4125
1357225900000,139.8875,169.4,0.4625
1357225910000,139.9125,169.425,0.4875
1357225920000,139.9125,169.425,0.425
1357225930000,139.9125,169.45,0.3875
1357225940000,139.9125,169.45,0.3875
1357225950000,139.9125,169.5125,0.3375
1357225960000,139.9125,169.5,0.35
1357225970000,139.9125,169.5,0.35
1357225980000,139.9125,169.5,0.2625
1357225990000,139.9125,169.5,0.25
1357226000000,139.9125,169.5,0.275
1357226010000,139.9125,169.5,0.325
1357226020000,139.9125,169.5,0.3375
1357226030000,139.9125,169.525,0.325
1357226040000,139.9875,169.55,0.3
1357226050000,140.0375,169.55,0.3125
1357226060000,140.0875,169.5875,0.2875
1357226070000,140.0875,169.5875,0.3
1357226080000,140.0625,169.5875,0.3375
1357226090000,140.0875,169.5875,0.3375
1357226100000,140.0875,169.5625,0.4
1357226110000,140.0875,169.575,0.3875
1357226120000,140.0875,169.5875,0.425
1357226130000,140.2125,169.6,0.4125
1357226140000,140.2125,169.6875,0.3125
1357226150000,140.1375,169.7,0.3
1357226160000,140.125,169.675,0.3375
1357226170000,140.1125,169.675,0.3375
1357226180000,140.1625,169.675,0.4625
1357226190000,140.1875,169.675,0.475
1357226200000,140.2375,169.725,0.425
1357226210000,140.2875,169.825,0.325
1357226220000,140.3125,169.8375,0.3
1357226230000,140.2625,169.8375,0.3125
1357226240000,140.3125,169.925,0.2875
1357226250000,140.2875,169.9125,0.3625
1357226260000,140.2625,169.9,0.3875
1357226270000,140.2625,169.9,0.3875
1357226280000,140.2875,169.8375,0.425
1357226290000,140.2875,169.85,0.4125
1357226300000,140.2875,169.8375,0.4125
1357226310000,140.1875,169.7875,0.425
1357226320000,140.2875,169.7875,0.425
1357226330000,140.2875,169.7875,0.4
1357226340000,140.2875,169.8125,0.3875
1357226350000,140.2875,169.825,0.375
1357226360000,140.3375,169.85,0.325
1357226370000,140.375,169.875,0.3125
1357226380000,140.3875,169.875,0.2875
1357226390000,140.3875,169.875,0.3125
1357226400000,140.4375,169.9,0.2875
1357226410000,140.4625,169.9125,0.275
1357226420000,140.4125,169.9,0.2875
1357226430000,140.3875,169.9,0.2625
1357226440000,140.3125,169.8875,0.175
1357226450000,140.3125,169.875,0.15
1357226460000,140.3125,169.875,0.025
1357226470000,140.2875,169.85,0.05
1357226480000,140.3,169.8375,0.025
1357226490000,140.3,169.8375,-0.0375
1357226500000,140.2875,169.8625,-0.0625
1357226510000,140.3125,169.9125,-0.1125
1357226520000,140.3125,169.85,-0.05
1357226530000,140.3125,169.8375,-0.0375
1357226540000,140.3875,169.8375,-0.0125
1357226550000,140.3875,169.85,-0.025
1357226560000,140.3875,169.85,-0.025
