,trial_id,model,env,accuracy
0,0,naive,0,0.6238
1,0,naive,1,0.7784
2,0,naive,2,0.6093
3,0,causal,0,0.6873
4,0,causal,1,0.6729
5,0,causal,2,0.6881
6,0,group,0,0.8308
7,0,group,1,0.8243
8,0,group,2,0.8272
9,0,oracle,0,0.8809
10,0,oracle,1,0.8148
11,0,oracle,2,0.8815
12,1,naive,0,0.6201
13,1,naive,1,0.7745
14,1,naive,2,0.6092
15,1,causal,0,0.6783
16,1,causal,1,0.6609
17,1,causal,2,0.6878
18,1,group,0,0.8321
19,1,group,1,0.8221
20,1,group,2,0.8258
21,1,oracle,0,0.8825
22,1,oracle,1,0.8078
23,1,oracle,2,0.8859
24,2,naive,0,0.6275
25,2,naive,1,0.7762
26,2,naive,2,0.6181
27,2,causal,0,0.6884
28,2,causal,1,0.6731
29,2,causal,2,0.6903
30,2,group,0,0.8351
31,2,group,1,0.8323
32,2,group,2,0.8302
33,2,oracle,0,0.882
34,2,oracle,1,0.8084
35,2,oracle,2,0.8817
36,3,naive,0,0.6224
37,3,naive,1,0.7708
38,3,naive,2,0.6163
39,3,causal,0,0.6819
40,3,causal,1,0.6626
41,3,causal,2,0.6939
42,3,group,0,0.8366
43,3,group,1,0.8195
44,3,group,2,0.8346
45,3,oracle,0,0.8875
46,3,oracle,1,0.803
47,3,oracle,2,0.8805
48,4,naive,0,0.6243
49,4,naive,1,0.7802
50,4,naive,2,0.6117
51,4,causal,0,0.6859
52,4,causal,1,0.6696
53,4,causal,2,0.6907
54,4,group,0,0.8326
55,4,group,1,0.8242
56,4,group,2,0.8317
57,4,oracle,0,0.8808
58,4,oracle,1,0.818
59,4,oracle,2,0.8878
60,5,naive,0,0.6234
61,5,naive,1,0.7763
62,5,naive,2,0.6242
63,5,causal,0,0.6893
64,5,causal,1,0.6679
65,5,causal,2,0.6874
66,5,group,0,0.8398
67,5,group,1,0.827
68,5,group,2,0.8353
69,5,oracle,0,0.8825
70,5,oracle,1,0.8075
71,5,oracle,2,0.8853
72,6,naive,0,0.6317
73,6,naive,1,0.7769
74,6,naive,2,0.6181
75,6,causal,0,0.6955
76,6,causal,1,0.6699
77,6,causal,2,0.6845
78,6,group,0,0.8368
79,6,group,1,0.8273
80,6,group,2,0.8309
81,6,oracle,0,0.8854
82,6,oracle,1,0.8144
83,6,oracle,2,0.8832
84,7,naive,0,0.6288
85,7,naive,1,0.7737
86,7,naive,2,0.6238
87,7,causal,0,0.6876
88,7,causal,1,0.6673
89,7,causal,2,0.6969
90,7,group,0,0.8416
91,7,group,1,0.8262
92,7,group,2,0.8275
93,7,oracle,0,0.8831
94,7,oracle,1,0.8093
95,7,oracle,2,0.8828
96,8,naive,0,0.6298
97,8,naive,1,0.7701
98,8,naive,2,0.6094
99,8,causal,0,0.6884
100,8,causal,1,0.6674
101,8,causal,2,0.6827
102,8,group,0,0.8334
103,8,group,1,0.8262
104,8,group,2,0.8245
105,8,oracle,0,0.8846
106,8,oracle,1,0.8095
107,8,oracle,2,0.8787
108,9,naive,0,0.6369
109,9,naive,1,0.7765
110,9,naive,2,0.6174
111,9,causal,0,0.6947
112,9,causal,1,0.6766
113,9,causal,2,0.6864
114,9,group,0,0.8374
115,9,group,1,0.8293
116,9,group,2,0.832
117,9,oracle,0,0.8859
118,9,oracle,1,0.8147
119,9,oracle,2,0.8875
120,10,naive,0,0.6224
121,10,naive,1,0.7765
122,10,naive,2,0.6081
123,10,causal,0,0.6839
124,10,causal,1,0.6636
125,10,causal,2,0.6936
126,10,group,0,0.8344
127,10,group,1,0.8329
128,10,group,2,0.8348
129,10,oracle,0,0.8828
130,10,oracle,1,0.8131
131,10,oracle,2,0.8862
132,11,naive,0,0.6229
133,11,naive,1,0.7764
134,11,naive,2,0.6151
135,11,causal,0,0.6899
136,11,causal,1,0.6684
137,11,causal,2,0.6882
138,11,group,0,0.8341
139,11,group,1,0.8265
140,11,group,2,0.8286
141,11,oracle,0,0.8773
142,11,oracle,1,0.8169
143,11,oracle,2,0.8882
144,12,naive,0,0.6295
145,12,naive,1,0.771
146,12,naive,2,0.6136
147,12,causal,0,0.6913
148,12,causal,1,0.6696
149,12,causal,2,0.6929
150,12,group,0,0.8332
151,12,group,1,0.8279
152,12,group,2,0.8285
153,12,oracle,0,0.8778
154,12,oracle,1,0.8087
155,12,oracle,2,0.8829
156,13,naive,0,0.62
157,13,naive,1,0.766
158,13,naive,2,0.6274
159,13,causal,0,0.6966
160,13,causal,1,0.6589
161,13,causal,2,0.6897
162,13,group,0,0.8372
163,13,group,1,0.823
164,13,group,2,0.8374
165,13,oracle,0,0.8903
166,13,oracle,1,0.8011
167,13,oracle,2,0.8802
168,14,naive,0,0.6243
169,14,naive,1,0.7694
170,14,naive,2,0.6143
171,14,causal,0,0.6991
172,14,causal,1,0.6618
173,14,causal,2,0.687
174,14,group,0,0.8385
175,14,group,1,0.8288
176,14,group,2,0.8236
177,14,oracle,0,0.8888
178,14,oracle,1,0.8093
179,14,oracle,2,0.8863
180,15,naive,0,0.6264
181,15,naive,1,0.7735
182,15,naive,2,0.6126
183,15,causal,0,0.6915
184,15,causal,1,0.664
185,15,causal,2,0.6892
186,15,group,0,0.8416
187,15,group,1,0.8296
188,15,group,2,0.8375
189,15,oracle,0,0.8807
190,15,oracle,1,0.812
191,15,oracle,2,0.8838
192,16,naive,0,0.627
193,16,naive,1,0.7717
194,16,naive,2,0.6075
195,16,causal,0,0.6874
196,16,causal,1,0.665
197,16,causal,2,0.6898
198,16,group,0,0.8325
199,16,group,1,0.8268
200,16,group,2,0.8263
201,16,oracle,0,0.8819
202,16,oracle,1,0.8098
203,16,oracle,2,0.8887
204,17,naive,0,0.6241
205,17,naive,1,0.7826
206,17,naive,2,0.6148
207,17,causal,0,0.6838
208,17,causal,1,0.6759
209,17,causal,2,0.6913
210,17,group,0,0.8346
211,17,group,1,0.83
212,17,group,2,0.8272
213,17,oracle,0,0.8818
214,17,oracle,1,0.8213
215,17,oracle,2,0.881
216,18,naive,0,0.6334
217,18,naive,1,0.7716
218,18,naive,2,0.6184
219,18,causal,0,0.6894
220,18,causal,1,0.6689
221,18,causal,2,0.6922
222,18,group,0,0.8308
223,18,group,1,0.8226
224,18,group,2,0.8288
225,18,oracle,0,0.8763
226,18,oracle,1,0.8066
227,18,oracle,2,0.8797
228,19,naive,0,0.6192
229,19,naive,1,0.7771
230,19,naive,2,0.6165
231,19,causal,0,0.6868
232,19,causal,1,0.6746
233,19,causal,2,0.6912
234,19,group,0,0.8267
235,19,group,1,0.8255
236,19,group,2,0.8295
237,19,oracle,0,0.8751
238,19,oracle,1,0.8139
239,19,oracle,2,0.8909
240,20,naive,0,0.6273
241,20,naive,1,0.7787
242,20,naive,2,0.6193
243,20,causal,0,0.6949
244,20,causal,1,0.6732
245,20,causal,2,0.691
246,20,group,0,0.8379
247,20,group,1,0.8301
248,20,group,2,0.8331
249,20,oracle,0,0.8857
250,20,oracle,1,0.8123
251,20,oracle,2,0.8849
252,21,naive,0,0.6322
253,21,naive,1,0.7753
254,21,naive,2,0.6106
255,21,causal,0,0.699
256,21,causal,1,0.671
257,21,causal,2,0.6815
258,21,group,0,0.8372
259,21,group,1,0.8262
260,21,group,2,0.8294
261,21,oracle,0,0.8835
262,21,oracle,1,0.8119
263,21,oracle,2,0.8807
264,22,naive,0,0.6225
265,22,naive,1,0.7896
266,22,naive,2,0.6119
267,22,causal,0,0.6799
268,22,causal,1,0.6706
269,22,causal,2,0.6869
270,22,group,0,0.8345
271,22,group,1,0.8254
272,22,group,2,0.8335
273,22,oracle,0,0.876
274,22,oracle,1,0.8179
275,22,oracle,2,0.8838
276,23,naive,0,0.6349
277,23,naive,1,0.7717
278,23,naive,2,0.6063
279,23,causal,0,0.691
280,23,causal,1,0.6699
281,23,causal,2,0.6871
282,23,group,0,0.8352
283,23,group,1,0.8315
284,23,group,2,0.8358
285,23,oracle,0,0.8832
286,23,oracle,1,0.8076
287,23,oracle,2,0.8844
288,24,naive,0,0.6393
289,24,naive,1,0.7827
290,24,naive,2,0.6154
291,24,causal,0,0.6991
292,24,causal,1,0.681
293,24,causal,2,0.6923
294,24,group,0,0.841
295,24,group,1,0.8299
296,24,group,2,0.8307
297,24,oracle,0,0.8887
298,24,oracle,1,0.8173
299,24,oracle,2,0.8843
300,25,naive,0,0.6325
301,25,naive,1,0.7851
302,25,naive,2,0.6142
303,25,causal,0,0.6938
304,25,causal,1,0.6732
305,25,causal,2,0.6888
306,25,group,0,0.8379
307,25,group,1,0.8319
308,25,group,2,0.8345
309,25,oracle,0,0.8846
310,25,oracle,1,0.8185
311,25,oracle,2,0.8826
312,26,naive,0,0.6266
313,26,naive,1,0.7712
314,26,naive,2,0.6046
315,26,causal,0,0.6893
316,26,causal,1,0.666
317,26,causal,2,0.6782
318,26,group,0,0.8351
319,26,group,1,0.8264
320,26,group,2,0.8297
321,26,oracle,0,0.8836
322,26,oracle,1,0.8113
323,26,oracle,2,0.8809
324,27,naive,0,0.633
325,27,naive,1,0.7677
326,27,naive,2,0.6096
327,27,causal,0,0.699
328,27,causal,1,0.6622
329,27,causal,2,0.6921
330,27,group,0,0.8382
331,27,group,1,0.8259
332,27,group,2,0.8386
333,27,oracle,0,0.8873
334,27,oracle,1,0.8054
335,27,oracle,2,0.886
336,28,naive,0,0.6279
337,28,naive,1,0.7751
338,28,naive,2,0.6253
339,28,causal,0,0.6899
340,28,causal,1,0.673
341,28,causal,2,0.693
342,28,group,0,0.8328
343,28,group,1,0.8293
344,28,group,2,0.8361
345,28,oracle,0,0.8775
346,28,oracle,1,0.8111
347,28,oracle,2,0.8872
348,29,naive,0,0.6203
349,29,naive,1,0.7769
350,29,naive,2,0.6125
351,29,causal,0,0.6925
352,29,causal,1,0.6653
353,29,causal,2,0.689
354,29,group,0,0.8307
355,29,group,1,0.8267
356,29,group,2,0.831
357,29,oracle,0,0.883
358,29,oracle,1,0.8092
