,trial_id,model,env,accuracy
0,0,naive,train,0.939
0,0,naive,test,0.8287
0,0,causal,train,0.86
0,0,causal,test,0.8633
0,0,group,train,0.9251
0,0,group,test,0.9292
0,0,oracle,train,0.94
0,0,oracle,test,0.9419
0,1,naive,train,0.9398
0,1,naive,test,0.8231
0,1,causal,train,0.8608
0,1,causal,test,0.8575
0,1,group,train,0.9273
0,1,group,test,0.9304
0,1,oracle,train,0.9416
0,1,oracle,test,0.9431
0,2,naive,train,0.9423
0,2,naive,test,0.823
0,2,causal,train,0.864
0,2,causal,test,0.8643
0,2,group,train,0.9286
0,2,group,test,0.9326
0,2,oracle,train,0.9432
0,2,oracle,test,0.9468
0,3,naive,train,0.9427
0,3,naive,test,0.8235
0,3,causal,train,0.8595
0,3,causal,test,0.8588
0,3,group,train,0.9255
0,3,group,test,0.9306
0,3,oracle,train,0.9424
0,3,oracle,test,0.9412
0,4,naive,train,0.9405
0,4,naive,test,0.8186
0,4,causal,train,0.8558
0,4,causal,test,0.8568
0,4,group,train,0.9276
0,4,group,test,0.932
0,4,oracle,train,0.9412
0,4,oracle,test,0.9437
0,5,naive,train,0.9423
0,5,naive,test,0.8179
0,5,causal,train,0.8615
0,5,causal,test,0.8598
0,5,group,train,0.9298
0,5,group,test,0.9319
0,5,oracle,train,0.9434
0,5,oracle,test,0.9455
0,6,naive,train,0.94
0,6,naive,test,0.8176
0,6,causal,train,0.8537
0,6,causal,test,0.8584
0,6,group,train,0.927
0,6,group,test,0.9273
0,6,oracle,train,0.9417
0,6,oracle,test,0.9473
0,7,naive,train,0.9424
0,7,naive,test,0.8267
0,7,causal,train,0.8621
0,7,causal,test,0.8606
0,7,group,train,0.9274
0,7,group,test,0.9288
0,7,oracle,train,0.9428
0,7,oracle,test,0.9434
0,8,naive,train,0.9406
0,8,naive,test,0.8238
0,8,causal,train,0.8587
0,8,causal,test,0.8633
0,8,group,train,0.9235
0,8,group,test,0.9329
0,8,oracle,train,0.9423
0,8,oracle,test,0.947
0,9,naive,train,0.9389
0,9,naive,test,0.8243
0,9,causal,train,0.8541
0,9,causal,test,0.8609
0,9,group,train,0.9241
0,9,group,test,0.9281
0,9,oracle,train,0.9407
0,9,oracle,test,0.9453
